count
2
2
2
14
1
6
2
12
3
7
1
3
2
3
5
2
2
2
2
1
1
1
6
5
3
4
1
1
1
5
1
1
1
2
3
1
2
1
1
3
2
1
7
6
3
2
2
1
1
1
2
1
2
3
2
10
4
3
1
2
3
5
1
3
15
2
2
3
2
1
1
4
2
2
3
1
2
1
3
2
3
5
2
24
2
1
2
1
1
3
1
2
3
2
1
1
6
3
1
6
1
1
2
2
2
3
1
4
2
6
2
2
3
6
1
3
1
1
4
2
7
3
6
2
2
2
3
7
2
3
10
3
3
5
4
1
